date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:58	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2009:14:57%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.eot?	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regulard41d.eot	(from https://p.w3layouts.com/demos/marital/web/css/bootstrap-3.1.1.min.css)
14:44:59	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2009:14:58%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.woff	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.woff	(from https://p.w3layouts.com/demos/marital/web/css/bootstrap-3.1.1.min.css)
14:45:00	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2009:14:59%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.ttf	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.ttf	(from https://p.w3layouts.com/demos/marital/web/css/bootstrap-3.1.1.min.css)
14:45:01	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2009:15:00%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.svg	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/glyphicons-halflings-regular.svg	(from https://p.w3layouts.com/demos/marital/web/css/bootstrap-3.1.1.min.css)
14:45:03	88699/88699	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:57%20GMT	https://p.w3layouts.com/demos/marital/web/images/wed.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/wed.jpg	(from https://p.w3layouts.com/demos/marital/web/css/style.css)
14:45:04	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2009:15:02%20GMT	https://p.w3layouts.com/demos/marital/web/images/black-40.png	template/matrimonial/p.w3layouts.com/demos/marital/web/images/black-40.png	(from https://p.w3layouts.com/demos/marital/web/css/style.css)
14:45:04	61362/61362	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:11:58%20GMT	https://p.w3layouts.com/demos/marital/web/images/bg.jpg	template/matrimonial/p.w3layouts.com/demos/marital/web/images/bg.jpg	(from https://p.w3layouts.com/demos/marital/web/css/style.css)
14:45:06	60767/60767	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Sep%202017%2018:58:24%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfont.eot?v=4.0.3	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfontba72.eot	(from https://p.w3layouts.com/demos/marital/web/css/font-awesome.css)
14:45:07	60767/60767	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Sep%202017%2018:58:24%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfont.eot?	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfontd41d.eot	(from https://p.w3layouts.com/demos/marital/web/css/font-awesome.css)
14:45:08	71508/71508	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Sep%202017%2018:58:24%20GMT	https://p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfont.woff?v=4.0.3	template/matrimonial/p.w3layouts.com/demos/marital/web/fonts/fontawesome-webfontba72.woff	(from https://p.w3layouts.com/demos/marital/web/css/font-awesome.css)
